,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
6,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
8,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
9,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
10,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1
11,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,1,1
12,1,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,1,1
13,1,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,1,1
14,1,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,2,0,1,1
15,1,2,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,2,0,1,1
16,1,2,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1,1,0,2,0,1,1
17,1,3,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1,1,0,2,0,1,1
18,1,3,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,1,1,0,2,0,1,1
19,2,3,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,1,1,0,2,0,1,1
20,2,3,0,0,0,1,2,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,1,1,0,2,0,1,1
21,2,4,0,0,0,1,2,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,1,1,0,2,0,1,1
22,2,4,0,0,0,1,2,0,1,1,0,0,0,0,0,0,1,0,0,2,0,1,2,0,0,0,0,1,1,0,2,0,1,1
23,2,4,1,0,0,1,2,0,1,1,0,0,0,0,0,0,1,0,0,2,0,1,2,0,0,0,0,1,1,0,2,0,1,1
24,2,4,1,0,0,1,2,0,1,1,0,0,0,0,0,0,1,0,0,3,0,1,2,0,0,0,0,1,1,0,2,0,1,1
25,2,4,1,0,0,1,2,0,1,1,0,0,0,0,0,0,1,0,0,3,0,1,2,0,0,0,0,1,1,0,2,0,2,1
26,2,4,1,0,0,1,2,0,1,1,1,0,0,0,0,0,1,0,0,3,0,1,2,0,0,0,0,1,1,0,2,0,2,1
27,2,5,1,0,0,1,2,0,1,1,1,0,0,0,0,0,1,0,0,3,0,1,2,0,0,0,0,1,1,0,2,0,2,1
28,2,5,1,0,0,1,2,0,1,1,1,0,0,0,0,0,1,0,0,4,0,1,2,0,0,0,0,1,1,0,2,0,2,1
29,2,5,1,0,0,2,2,0,1,1,1,0,0,0,0,0,1,0,0,4,0,1,2,0,0,0,0,1,1,0,2,0,2,1
30,2,5,1,0,0,2,2,0,1,1,2,0,0,0,0,0,1,0,0,4,0,1,2,0,0,0,0,1,1,0,2,0,2,1
31,2,5,1,0,0,2,2,0,1,2,2,0,0,0,0,0,1,0,0,4,0,1,2,0,0,0,0,1,1,0,2,0,2,1
32,2,5,1,0,0,2,2,0,1,2,2,0,0,0,0,0,1,0,0,4,0,1,2,0,0,0,0,1,1,0,2,0,3,1
33,2,5,1,0,0,2,2,0,1,2,2,0,0,0,0,0,1,0,0,4,0,1,2,0,0,0,0,1,0,0,2,0,3,1
34,2,5,1,0,0,2,2,0,1,2,2,1,0,0,0,0,1,0,0,4,0,1,2,0,0,0,0,1,0,0,2,0,3,1
35,2,5,1,0,0,2,2,0,1,2,2,1,0,0,0,0,1,0,0,4,0,1,2,0,0,1,0,1,0,0,2,0,3,1
36,2,5,1,0,0,2,2,0,1,2,2,1,0,0,0,0,1,0,1,4,0,1,2,0,0,1,0,1,0,0,2,0,3,1
37,2,5,1,0,0,2,2,0,1,3,2,1,0,0,0,0,1,0,1,4,0,1,2,0,0,1,0,1,0,0,2,0,3,1
38,2,5,1,0,0,2,2,0,1,3,2,1,0,0,0,0,1,0,1,4,0,2,2,0,0,1,0,1,0,0,2,0,3,1
39,2,5,1,0,0,2,2,0,1,3,2,1,0,0,0,0,1,1,1,4,0,2,2,0,0,1,0,1,0,0,2,0,3,1
40,2,6,1,0,0,2,2,0,1,3,2,1,0,0,0,0,1,1,1,4,0,2,2,0,0,1,0,1,0,0,2,0,3,1
41,2,6,1,0,0,2,2,0,1,3,2,1,0,0,0,0,1,1,1,4,0,2,3,0,0,1,0,1,0,0,2,0,3,1
42,2,6,1,0,0,2,2,0,1,3,2,1,0,0,0,0,1,1,1,5,0,2,3,0,0,1,0,1,0,0,2,0,3,1
43,2,6,1,0,0,2,2,0,1,3,2,1,0,0,0,0,1,1,1,5,0,2,3,0,1,1,0,1,0,0,2,0,3,1
44,2,6,1,0,0,3,2,0,1,3,2,1,0,0,0,0,1,1,1,5,0,2,3,0,1,1,0,1,0,0,2,0,3,1
45,2,6,1,0,0,3,2,0,1,3,2,1,0,1,0,0,1,1,1,5,0,2,3,0,1,1,0,1,0,0,2,0,3,1
46,2,6,1,0,0,3,2,0,1,3,2,1,0,1,0,0,1,1,1,5,0,2,3,0,1,2,0,1,0,0,2,0,3,1
47,2,6,1,0,0,3,2,0,1,3,2,1,0,1,0,0,1,1,1,5,0,2,3,0,1,2,0,1,0,0,3,0,3,1
48,2,6,1,0,0,3,2,0,1,3,2,1,1,1,0,0,1,1,1,5,0,2,3,0,1,2,0,1,0,0,3,0,3,1
49,2,6,1,0,0,3,2,0,1,3,2,1,1,1,0,0,1,1,1,5,0,2,3,0,1,2,1,1,0,0,3,0,3,1
50,2,6,1,0,1,3,2,0,1,3,2,1,1,1,0,0,1,1,1,5,0,2,3,0,1,2,1,1,0,0,3,0,3,1
51,2,6,1,0,1,3,2,0,1,3,2,1,1,1,0,0,1,1,1,5,0,2,3,0,1,2,1,2,0,0,3,0,3,1
52,2,6,1,0,1,3,2,0,1,3,2,1,1,1,0,0,1,1,1,5,0,3,3,0,1,2,1,2,0,0,3,0,3,1
53,2,6,1,0,1,3,2,0,1,3,2,1,1,1,0,0,1,1,1,6,0,3,3,0,1,2,1,2,0,0,3,0,3,1
54,2,6,1,0,1,3,2,0,1,3,2,1,1,1,0,0,1,1,2,6,0,3,3,0,1,2,1,2,0,0,3,0,3,1
55,2,6,1,0,1,3,2,0,1,3,2,1,1,1,0,0,1,1,2,6,0,3,3,0,1,2,1,2,0,0,3,0,3,2
56,2,6,1,0,1,3,2,0,1,3,2,1,1,1,0,0,1,1,3,6,0,3,3,0,1,2,1,2,0,0,3,0,3,2
57,2,6,1,0,1,3,2,0,1,3,2,1,1,1,0,0,1,1,3,6,0,3,3,0,1,2,1,3,0,0,3,0,3,2
58,2,6,1,0,1,3,2,0,1,3,2,1,1,1,0,0,1,1,3,6,0,3,3,0,1,2,1,3,0,0,3,0,4,2
59,2,6,1,0,1,3,2,0,1,3,2,1,1,1,0,0,1,1,3,6,0,3,3,0,2,2,1,3,0,0,3,0,4,2
60,2,6,1,0,1,3,2,0,1,3,2,1,1,1,0,0,1,1,3,6,0,3,4,0,2,2,1,3,0,0,3,0,4,2
61,2,6,1,0,1,3,2,0,1,3,2,1,1,1,0,0,1,1,3,6,0,3,4,0,2,2,1,3,0,0,3,0,5,2
